experiment_id	completed_at	commit	config	seed	machine	job_id	metric	value	run_status	decision	artifact_dir	description
001-p0-engineering-v1	2026-09-14T02:55:52.823829+00:00	f9ecd7f2becfe104aeb455895461680d89ab848b	tests/check_cola_state.py	84001	nebula	1519438,1519443,1519448,1519453	passed_examples	32	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state/	32/32 engineering examples passed native parity and replay/cache invariants; implementation evidence only.
001-p0-calibration-easy-v2	2026-09-14T03:48:13.111147+00:00	3b1fb15cf78f234660169f5fcb1686d61286217b	configs/001_same_prefix_state/p0_calibration_easy.json	710000	nebula	1539322,1539330,1539347,1539357	route_success	0	success	inconclusive	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state	512 samples on 128 graphs; parseable=0.824219; eligible=0; best-of-4=0. Capability gate fails; H1-H3 unmeasured.
001-p0-calibration-hard-v2	2026-09-14T03:48:13.111147+00:00	3b1fb15cf78f234660169f5fcb1686d61286217b	configs/001_same_prefix_state/p0_calibration_hard.json	710000	nebula	1539322,1539330,1539347,1539357	route_success	0	success	inconclusive	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state	512 samples on 128 graphs; parseable=0.646484; eligible=0; best-of-4=0. Capability gate fails; H1-H3 unmeasured.
001-r0-saved-routes-v1	2026-09-14T04:27:15.483603+00:00	b01546b8badcb052e84026ff826a3d90ecc32b81	configs/001_same_prefix_state/r0_saved_routes.json	510001,510002	nebula	1646944	eligible_mixed_roots		crash	inconclusive	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state/001-r0-saved-routes-v1	CPU audit stopped at task comparison before statistics; inspect tuple/list serialization, then retry. No new model generation.
001-r0-saved-routes-v2-easy	2026-09-14T04:32:04.746985+00:00	827285209957d870812bc4fe9b13f99345e2a2ab	configs/001_same_prefix_state/r0_saved_routes.json	510001	nebula	1650788	eligible_mixed_roots	76	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state/001-r0-saved-routes-v2	CPU reanalysis of 512 existing generations: no eligible causal F roots; M root eligibility is a token-prefix observation, not candidate acceptance or H1/H2 evidence.
001-r0-saved-routes-v2-hard	2026-09-14T04:32:04.746985+00:00	827285209957d870812bc4fe9b13f99345e2a2ab	configs/001_same_prefix_state/r0_saved_routes.json	510002	nebula	1650788	eligible_mixed_roots	61	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state/001-r0-saved-routes-v2	CPU reanalysis of 512 existing generations: no eligible causal F roots; M root eligibility is a token-prefix observation, not candidate acceptance or H1/H2 evidence.
001-r1-parity-smoke-v1	2026-09-14T04:43:02.373836+00:00	a97cf2c45b02adf27a7771d7365125ab4e2bbbe9	configs/001_same_prefix_state/r1_official_capability.json	66	nebula	1664981	paired_examples_passed	8	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state/001-r1-parity-smoke-v1	8/8 official/native-wrapper token parity and resume/rebuild checks pass at penalty 1.1; one default penalty-1.0 control passes. Engineering evidence, not full capability or H1 results.
001-r1-official-capability-v1-lambada	2026-09-14T04:53:54.550096+00:00	699dacde51720e02c34012b3ca0b57500ce94a48	configs/001_same_prefix_state/r1_official_capability.json	66	nebula	1673899,1673904,1673909	official_score_accuracy	0.4921875	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state	63/128 on fixed release-fixture inputs using pinned native inference/scorer, penalty1.1. Includes four exact-condition smoke records per task from a97cf2c. Capability only; H1a/H1b/H2/H3 unmeasured.
001-r1-official-capability-v1-squad	2026-09-14T04:53:54.550096+00:00	699dacde51720e02c34012b3ca0b57500ce94a48	configs/001_same_prefix_state/r1_official_capability.json	66	nebula	1673899,1673904,1673909	official_score_accuracy	0.3359375	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state	43/128 on fixed release-fixture inputs using pinned native inference/scorer, penalty1.1. Includes four exact-condition smoke records per task from a97cf2c. Capability only; H1a/H1b/H2/H3 unmeasured.
001-r3-m-engineering-v1	2026-09-14T05:00:17.159336+00:00	7e757d8e7f0bd5a6dd8fd9470225ef147ccc8002	tests/check_mixed_candidates.py	88000000+m*1000	nebula	1683790,1683806,1683815	engineering_cases_passed	16	success	keep	/home/mlw0719/cola_dlm_exploration_storage/runs/001_same_prefix_state	16/16 cases cover remainders 0..15 once; known latents, identity, ordering, replay and paired futures pass. Engineering only.
